Load (N),Strain (%)
0.0,0
0.0,0.21190887874889
0.0,0.623462394235119
0.0,1.04995103545336
0.0,1.47651812104135
0.0,1.87886774479744
0.0,2.30546178541151
0.0,2.71694544864529
0.0,3.12208479689156
0.0,3.53672916720968
0.8,3.96327880550955
0.9,4.38690025886361
1,4.76808136377069
1.1,5.17344858530533
1.2,5.59695037898611
1.3,5.99355775769903
1.4,6.42603849787187
1.5,6.81940222285711
1.6,7.24897204945236
1.7,7.65729103718964
1.8,8.08384740859844
2.16,8.4894086889274
2.52,8.91285894827309
2.88,9.33940161347064
3.24,9.74167130653194
3.6,10.1594392215921
3.96,10.5648123276486
4.32,10.9460261635434
4.68,11.3755308031089
5.04,11.7809956814529
5.4,12.1863732943045
5.76,12.606792031425
6.12,13.0214778369498
6.48,13.435759717973
6.84,13.8381075452308
7.2,14.2376037654375
7.56,14.6430573151759
7.92,15.0694725296548
8.28,15.4718757407283
8.64,15.8833226155256
9,16.2888245847392
9.24,16.7184100187705
9.48,17.1237891909417
9.72,17.5293288283025
9.96,17.934638152936
10.2,18.3609700229447
10.44,18.7697054100315
10.68,19.1900625262332
10.92,19.5924135995747
11.16,19.9947466174464
11.4,20.4154382242317
11.64,20.8236449781018
11.88,21.2503018617419
12.12,21.6559310487262
12.36,22.0792499094366
12.6,22.4815840875581
12.84,22.9081489488399
13.08,23.33478160825
13.32,23.7555558481702
13.56,24.1637090616454
13.8,24.5902698716551
14,24.9926338940899
14.2,25.4192681472249
14.4,25.8309361296936
14.6,26.2363231893302
14.8,26.6505517337232
15,27.0771117851405
15.2,27.4767655886003
15.4,27.8821738832834
15.6,28.3117543821829
15.8,28.7349939528774
15.98,29.1225698791535
16.16,29.5639761871082
16.34,29.9663111938337
16.52,30.3870791272318
16.7,30.7953318280562
16.88,31.2219776469537
17.06,31.6242626820629
17.24,32.0266765678592
17.42,32.4625960694972
17.6,32.8679669467638
17.76,33.2734183335385
17.92,33.7030187266558
18.08,34.1353068301975
18.24,34.5380730306509
18.4,34.9643089534038
18.56,35.3730139626488
18.72,35.7932786161578
18.88,36.208039572478
19.04,36.6221784416593
19.2,37.0245283503307
19.36,37.4484600295566
19.52,37.8777139662657
19.68,38.2801508896303
19.84,38.7066606151624
20,39.1089728343501
20.16,39.5114173372381
20.32,39.9292498219209
20.48,40.3589720924655
20.64,40.7669438394145
20.8,41.1696703948314
20.94,41.5992530747556
21.08,42.0224492263503
21.22,42.4342640115315
21.36,42.8639181051944
21.5,43.2779090562077
21.64,43.6989853629571
21.78,44.1045170633011
21.92,44.5099185852908
22.06,44.9360335901112
22.2,45.3690961644128
22.36,45.7649396873225
22.52,46.1799710449645
22.68,46.6009133582766
22.84,46.9963094236626
23,47.3986990845278
23.16,47.8257150233129
23.32,48.2725446581058
23.48,48.6607978304179
23.64,49.0661464415153
23.8,49.4957683017311
23.96,49.9096733160917
24.12,50.3120858792988
24.28,50.7387307310195
24.44,51.1652869730236
24.6,51.5674464568815
24.76,51.9765483304614
24.92,52.396566686625
25.08,52.7989915802802
25.24,53.2255110242982
25.4,53.652126796923
25.58,54.0519204683969
25.76,54.4810449677749
25.94,54.8866906648694
26.12,55.2921840883623
26.3,55.7123912000341
26.48,56.1389933989708
26.66,56.541276795793
26.84,56.9436112533455
27.02,57.3678087771706
27.2,57.7968659580144
27.42,58.1990922041453
27.64,58.6258016788674
27.86,59.0282391681551
28.08,59.4432150799533
28.3,59.8485913058469
28.52,60.2594951936611
28.74,60.6860751708819
28.96,61.1127193980726
29.18,61.5150525019549
29.4,61.9240062663621
30.66,62.3294569822008
31.92,62.7589989783076
33.18,63.1644950132807
34.44,63.5753281583249
35.7,64.0019027789431
36.96,64.4041567638199
38.22,64.8102645244165
39.48,65.2396706617542
40.74,65.6450974299833
42,66.0504886805416
47.6400000000001,66.4643288390344
53.28,66.8667652972254
58.92,67.2449090265952
64.5600000000001,67.6236253370692
70.2,68.0254128752144
75.8400000000001,68.4035734947492
81.48,68.7962465817873
87.12,69.1841868320717
92.7600000000001,69.5381489404427
98.4,69.8920889246451
105.14,70.2701918206215
111.88,70.6719850645533
118.62,71.0507249198125
125.36,71.428982695472
132.1,71.80717854464
138.84,72.148450615646
145.58,72.4983803603778
152.32,72.8637769556513
159.06,73.2714906311316
165.8,73.6252531212956
172.28,74.0446110831826
178.76,74.4059321096042
185.24,74.7404399838585
191.72,75.1253341361562
198.2,75.5163537513071
204.68,75.9427161980298
211.16,76.2191354384128
217.64,76.6506366159212
224.12,77.0253005479572
230.6,77.3519331978367
237.38,77.6738879196109
244.16,78.0906543445184
250.94,78.4856664298507
257.72,78.8525103495043
264.5,79.2909577441444
271.28,79.5803408470516
278.06,79.8457437937624
284.84,80.252559238623
291.62,80.7095064188802
298.4,81.0935896969668
