Load (N),Strain (%)
-4.479475319,7.536649125
-2.19643116,7.556496457
-3.920029849,7.575135238
-2.264324576,7.596093251
-3.310386091,7.616387141
-4.548113793,7.638820004
-4.907976836,7.659353049
-2.330169082,7.679272214
-3.835745156,7.700051238
-3.638770431,7.720276946
-4.665460438,7.742100057
-2.751778811,7.762582064
-3.063585609,7.781618034
-3.999099135,7.802430554
-3.15271318,7.824633629
-3.403052688,7.842246421
-3.039557487,7.864554508
-3.653299063,7.882978583
-2.216827124,7.905027593
-3.977399319,7.925665808
-4.279147834,7.946464358
-3.983080387,7.967775031
-2.884026617,7.989595046
-4.332326353,8.009050667
-3.228150308,8.030473415
-3.002770245,8.048521018
-2.699624747,8.069411484
-4.171673208,8.09154344
-2.738367766,8.110802451
-3.029219806,8.132818441
-2.794899046,8.152698237
-3.378279507,8.173146906
-3.29380855,8.195014229
-3.683939576,8.21579365
-1.569557935,8.236110876
-2.632942051,8.255598802
-3.851391375,8.276442755
-1.809000969,8.298612016
-4.639662802,8.317061967
-0.767689198,8.336391303
-4.239194095,8.3578612
-3.291014582,8.378709042
-0.985618681,8.398855772
-2.758018672,8.419614159
-2.522300929,8.441389805
-2.390146255,8.461720763
-4.269462079,8.482559556
-2.88868323,8.502649217
-1.35563314,8.523262587
-2.897623926,8.54469367
-3.841519356,8.565074713
-2.468004823,8.584427385
-2.420693636,8.604925108
-3.753975034,8.626501445
-3.371853381,8.648297252
-3.202538937,8.667721043
-3.69977206,8.689041161
-2.647656947,8.708701011
-2.160388976,8.729533692
-3.36933881,8.750974062
-2.824794501,8.770016699
-4.929397255,8.790746114
-3.545172513,8.810321748
-2.49510631,8.830510388
-4.295539111,8.85097398
-1.90641731,8.873874198
-2.809241414,8.893007242
-5.060527474,8.915383353
-3.023352474,8.936520592
-3.510620445,8.956695263
-3.065634519,8.977040428
-3.826990724,8.996527322
-3.117229789,9.016913286
-4.112627357,9.037243053
-3.792159259,9.058737
-3.002397716,9.080577098
-2.741347998,9.099835315
-4.665274173,9.121218773
-3.315974027,9.141310497
-2.993922681,9.162030864
-4.697684199,9.183591565
-3.293529153,9.201979763
-2.779532224,9.222501694
-2.381019294,9.243847767
-2.920813859,9.263227347
-3.373622894,9.282907597
-3.250036389,9.304038645
-4.252977669,9.324472551
-3.099720925,9.346778495
-2.963840961,9.366010122
-2.55247578,9.389391823
-4.0570274,9.409221374
-1.443456858,9.429374772
-3.291387111,9.449341165
-1.969374716,9.469788564
-2.428796142,9.489508421
-2.17417255,9.511460515
-2.662278712,9.531630423
-1.93817541,9.550450495
-4.084594548,9.57059802
-2.412963659,9.592204916
-2.615340054,9.614013105
-3.786105663,9.634349857
-3.185495734,9.656001123
-4.06941399,9.675725901
-3.126170486,9.696547867
-2.475921065,9.717247041
-2.852641046,9.737450604
-3.479793668,9.756955833
-3.421679139,9.777796849
-2.873409539,9.798173288
-1.905672252,9.819089947
-4.033558071,9.839181592
-2.459343523,9.860835557
-4.30252403,9.882542623
-2.461392432,9.902906839
-2.95015052,9.922687655
-1.691374928,9.943308169
-2.867635339,9.963812877
-3.354344517,9.984869473
-2.293754369,10.0031725
-2.115126699,10.02385199
-3.546196967,10.04623548
-4.321988672,10.06660168
-1.808814704,10.0865495
-4.341360182,10.10778628
-2.897065133,10.12888581
-2.967845649,10.14931242
-3.013014793,10.17014272
-2.563372254,10.19224658
-3.66596505,10.21018401
-3.595557064,10.23154969
-5.032029003,10.25064987
-2.830196172,10.27268967
-2.449937165,10.2939682
-3.438070416,10.31441076
-3.342237324,10.33411767
-2.4901703,10.3569632
-2.824608237,10.3765236
-2.112239599,10.39793111
-3.826525062,10.4174203
-2.904143184,10.43721771
-2.707913518,10.45908606
-2.778321505,10.4747634
-2.766959369,10.49914386
-1.433864236,10.51944434
-2.682581544,10.53942669
-3.284495324,10.56018214
-2.101343125,10.58124397
-4.169810563,10.60217547
-3.004074097,10.62263462
-3.625452518,10.6438225
-3.412272781,10.6647444
-2.770498395,10.68334056
-2.325884998,10.70485054
-3.470480442,10.72619201
-3.469362855,10.74223565
-3.758817911,10.76614964
-3.306381404,10.7858229
-2.290867269,10.80660772
-3.967247903,10.8274196
-3.418885171,10.8494521
-1.601595432,10.86880708
-2.616178244,10.88991939
-2.468749881,10.90980657
-1.997314394,10.93167469
-1.977011561,10.95150551
-3.625638783,10.97103677
-3.16593796,10.99216584
-2.079643309,11.01306234
-3.729760647,11.03428109
-2.554804087,11.05468809
-1.841969788,11.07581295
-2.895109355,11.09684811
-2.529099584,11.11778184
-2.014450729,11.13749376
-1.963041723,11.15742578
-3.547780216,11.17775277
-3.873184323,11.1994565
-2.715736628,11.21754189
-2.632196993,11.23801112
-3.498233855,11.26000377
-2.079084516,11.27926024
-2.837739885,11.30129766
-2.955645323,11.3215506
-3.855209798,11.34440414
-1.386739314,11.36325477
-3.400165588,11.3840557
-1.621898264,11.4055329
-0.951066613,11.42404707
-4.762876779,11.44428667
-3.092363477,11.46638219
-2.797693014,11.48550872
-2.648215741,11.50743335
-4.288181663,11.52868719
-3.637652844,11.55018162
-3.344658762,11.5702604
-3.376696259,11.59077361
-1.347064972,11.6114781
-2.986192703,11.63032389
-2.374779433,11.65026432
-3.398954868,11.67315692
-4.119891673,11.69258889
-2.646725625,11.71150786
-2.552289516,11.73316381
-3.989133984,11.75294225
-2.426002175,11.77464757
-3.446545452,11.79445505
-4.240311682,11.81574159
-1.688487828,11.83710529
-2.84453854,11.8581068
-3.670435399,11.88024344
-3.777258098,11.89661379
-2.952385694,11.91928112
-2.640485764,11.94031359
-2.719368786,11.95895745
-4.301313311,11.9786369
-2.209562808,11.99866465
-3.461260349,12.01932779
-3.970135003,12.04155515
-2.327002585,12.06200327
-2.358388156,12.08348078
-4.470814019,12.10393715
-2.633966506,12.12629279
-3.218464553,12.14484584
-1.646578312,12.16501202
-4.134327173,12.18479927
-1.996848732,12.20686518
-4.497729242,12.22852621
-2.763886005,12.24893162
-3.077182919,12.26742555
-3.269780427,12.29011074
-3.637932241,12.30981147
-2.974644303,12.33164053
-4.021730274,12.35340602
-3.216043115,12.37132178
-3.754254431,12.39199198
-1.688674092,12.41213316
-2.230796963,12.43083837
-3.754440695,12.45226795
-2.008210868,12.47430855
-3.816746175,12.49386664
-2.209655941,12.51488299
-3.405660391,12.53505901
-2.068839967,12.55766205
-2.446956933,12.57735714
-2.639181912,12.59755936
-3.262143582,12.61873319
-1.170579344,12.63690096
-3.384426236,12.65697086
-3.074668348,12.68042868
-3.56156379,12.69972857
-3.460794687,12.72127419
-2.624839544,12.74136718
-3.32230702,12.76358994
-4.020240158,12.78278363
-2.941768616,12.80389991
-3.912393004,12.82405514
-2.427026629,12.84436387
-3.966875374,12.86650559
-3.532227129,12.88520977
-2.56896019,12.90442973
-2.63992697,12.92499072
-3.551878035,12.94545463
-3.127846867,12.96786503
-1.849979162,12.98668661
-3.154203296,13.00943466
-2.890545875,13.02925326
-1.736544073,13.05120933
-2.872478217,13.07081647
-1.603551209,13.09334514
-2.524070442,13.11181279
-2.234056592,13.13150915
-3.230385482,13.15305771
-3.017578274,13.171743
-1.881737262,13.19307765
-2.36351043,13.21385667
-4.130322486,13.23493271
-3.82065773,13.25526208
-2.100784332,13.27721473
-2.452172339,13.29657098
-3.329757601,13.31760876
-3.486871719,13.33903413
-3.455020487,13.35995055
-2.176128328,13.37850305
-3.681518137,13.39868018
-2.305954695,13.4193338
-2.094078809,13.44064058
-1.255609095,13.46239083
-3.71010974,13.48286243
-3.374461085,13.50363138
-2.404395491,13.5238428
-2.527516335,13.54628527
-3.071967512,13.56545427
-3.550574183,13.58382437
-1.091510057,13.6065983
-2.734549344,13.62510318
-1.204479486,13.64447419
-3.701914102,13.66660598
-1.680664718,13.6879338
-2.191402018,13.70783328
-3.86312604,13.72955059
-2.267863601,13.75008085
-1.751910895,13.77018996
-2.614501864,13.79097581
-2.811755985,13.81196676
-2.979580313,13.83216112
-1.772306859,13.85063964
-3.498326987,13.87207533
-3.026612103,13.89413037
-3.449246287,13.91487288
-3.827549517,13.93532076
-3.734230995,13.95493775
-3.100931644,13.97654131
-2.327188849,13.99802446
-2.810824662,14.01835296
-3.569386899,14.04030966
-3.185961396,14.05773036
-3.455206752,14.07888435
-3.063119948,14.10063968
-2.432987094,14.11895017
-2.327654511,14.13859946
-2.963840961,14.16054544
-1.309998333,14.18076187
-2.449564636,14.20171464
-2.292357385,14.22314223
-2.164486796,14.24415199
-2.648681402,14.26529773
-3.27816233,14.28637742
-1.937896013,14.30658583
-3.082025796,14.32593818
-3.068055958,14.34623779
-3.67956236,14.36732597
-1.897383481,14.38656657
-2.647563815,14.4064716
-3.774929792,14.42694734
-2.731475979,14.44902048
-1.56480819,14.46865509
-3.810040653,14.49102493
-3.682635725,14.51106125
-2.704560757,14.53196156
-3.756862134,14.55243214
-1.907814294,14.57305694
-2.655014396,14.59325312
-2.948474139,14.61304885
-2.220179886,14.63352832
-3.012735397,14.65483812
-2.370867878,14.67525409
-3.402959555,14.69730977
-3.067683429,14.71721306
-2.740975469,14.73859945
-3.176089376,14.75999632
-3.158394247,14.78007328
-3.059208393,14.79738303
-0.550877303,14.81888562
-1.641083509,14.84161209
-3.192573786,14.86014721
-2.892315388,14.88008955
-1.87298283,14.90130855
-2.244114876,14.9216068
-2.158153802,14.94239686
-2.40476802,14.96454168
-2.870522439,14.98480842
-2.747029066,15.00515446
-1.845881343,15.0262836
-3.364495933,15.04880814
-2.722628415,15.06532605
-3.811344504,15.08634455
-1.638010144,15.10692418
-3.561750054,15.12853902
-1.615285873,15.14898102
-3.019347787,15.16992347
-3.873091191,15.19044263
-2.110283822,15.21249307
-2.890452743,15.23168001
-2.476014197,15.25291472
-2.759415656,15.27330608
-1.864973456,15.29419996
-4.061032087,15.31379813
-2.739857882,15.33331328
-4.519615322,15.3536617
-2.487562597,15.37407981
-2.20015645,15.3951199
-3.91388312,15.41608911
-2.260506153,15.43705267
-1.523829997,15.45744681
-2.819113433,15.47895989
-1.87382102,15.50013261
-4.12017107,15.51987469
-1.575332135,15.53916839
-3.81860882,15.56216632
-1.905020326,15.58187617
-2.344418317,15.60132147
-2.924632281,15.62060493
-2.484302968,15.64199101
-3.917235881,15.66254874
-1.872330904,15.68433486
-4.062149674,15.70420426
-1.203268766,15.72596078
-3.377813846,15.74594225
-2.944748849,15.76704766
-2.634339035,15.78638382
-2.539157867,15.80544908
-2.208538353,15.82702296
-4.374235868,15.84827751
-2.733059227,15.86848608
-2.873595804,15.889658
-3.252457827,15.9111002
-2.423953265,15.93159078
-2.312939614,15.95253617
-3.215577453,15.97330741
-2.91466713,15.99547763
-2.782698721,16.01303216
-2.198293805,16.03378547
-2.328772098,16.05476245
-3.364402801,16.0738166
-3.178231418,16.09238132
-3.079138696,16.11461686
-3.191735595,16.13510014
-0.932160765,16.1563289
-3.191735595,16.17641125
-2.857483923,16.19852726
-1.597590744,16.21899815
-1.995731145,16.24044344
-3.152247518,16.2605481
-3.203097731,16.28042345
-1.701153815,16.30066607
-2.031214535,16.32222725
-3.243517131,16.34242859
-0.704731792,16.36318094
-3.608129919,16.38284023
-2.13580206,16.40483876
-2.019479871,16.42577733
-3.31364572,16.44677654
-3.289524466,16.46746563
-3.163237125,16.48621443
-1.87093392,16.50800579
-2.836808562,16.52808648
-2.324581146,16.54700839
-2.991221845,16.56795989
-1.971516758,16.58991175
-2.289842814,16.60940706
-1.567974687,16.62991287
-2.738181502,16.65197887
-2.233870327,16.67323644
-3.041978925,16.69208048
-1.938641071,16.71469622
-3.489293158,16.73607309
-2.226792276,16.75328092
-2.273544669,16.77408011
-1.516286284,16.79575304
-2.375617623,16.81608329
-2.055708319,16.83681619
-1.766905189,16.85914706
-3.444962204,16.87828955
-3.261864185,16.89997717
-1.187063754,16.92016581
-2.537667751,16.93975208
-1.817382872,16.95905975
-2.559181303,16.98233151
-3.11313197,17.00118469
-1.993961632,17.02087406
-2.823490649,17.0415472
-2.381112427,17.06292622
-1.035444438,17.082113
-2.488587052,17.10283233
-2.84537673,17.12553165
-2.156570554,17.14562663
-3.010034561,17.16734656
-2.074707299,17.18734819
-2.706702799,17.20779734
-1.652538776,17.22749179
-1.908186823,17.248568
-2.511776984,17.26864662
-1.198146492,17.28843974
-2.015288919,17.30820103
-2.247933298,17.3290384
-2.393033355,17.34941809
-1.275166869,17.3720778
-2.892315388,17.39272642
-1.113396138,17.41277695
-1.809746027,17.43282057
-3.027170897,17.45352014
-1.124385744,17.47432028
-2.852920443,17.49418174
-1.975148916,17.51481821
-1.811981201,17.53518838
-1.820642501,17.55744447
-1.44680962,17.57772289
-3.18698585,17.59765856
-1.083686948,17.62041583
-2.044811845,17.64057224
-2.430658787,17.66072977
-2.320390195,17.68157554
-1.777429134,17.70014511
-2.68490985,17.7209289
-2.889987081,17.7429052
-1.532305032,17.76212905
-1.859664917,17.78236754
-1.360103488,17.80256602
-1.970119774,17.82410045
-0.590458512,17.84406041
-1.336820424,17.86466457
-2.05244869,17.886996
-2.646166831,17.90703494
-1.494400203,17.928179
-1.82474032,17.94966898
-0.974815339,17.96841254
-1.758802682,17.98774394
-1.028273255,18.00908509
-3.048218787,18.03026138
-0.764150172,18.04959762
-2.88579613,18.07103339
-1.261662692,18.09327837
-2.474989742,18.11296759
-0.706501305,18.13391132
-2.353359014,18.1562375
-2.402532846,18.17542936
-1.613982022,18.1951258
-0.815372914,18.21575465
-1.45547092,18.23534473
-2.581998706,18.25510451
-0.993628055,18.27729576
-2.596434206,18.29700403
-2.140551805,18.31850226
-0.331550837,18.33799082
-1.293048263,18.36074888
-2.51820311,18.38014529
-1.593586057,18.40226407
-1.77109614,18.42182422
-1.220684499,18.44136136
-3.90727073,18.46181718
-1.169834286,18.48244126
-0.792834908,18.50138611
-2.10236758,18.52287696
-3.436859697,18.54351827
-0.624638051,18.56356372
-1.978781074,18.58520737
-1.10482797,18.60745767
-1.391489059,18.62552194
-1.032091677,18.64800775
-2.593919635,18.66790135
0.500679016,18.68888342
-0.204332173,18.7080875
-2.140831202,18.72973956
-1.980923116,18.75149473
-0.300258398,18.77045783
-0.83129853,18.79206354
-2.52649188,18.81261143
-0.788457692,18.83343426
-1.497659832,18.85407272
-1.289416105,18.87514312
-0.255834311,18.89504181
-0.954791903,18.91449838
-0.842195004,18.93476489
-1.482572407,18.95621447
-1.100543886,18.97537688
0.244565308,18.99582539
-1.12587586,19.01628605
0.65388158,19.0372308
0.337511301,19.05850123
-1.201312989,19.0794321
-1.950468868,19.09960788
-0.919867307,19.12197994
-1.149810851,19.14158312
-0.409130007,19.16257058
-0.968109816,19.1820443
-1.459103078,19.20254567
-2.206768841,19.22209011
-0.624731183,19.24331014
-1.688674092,19.26505935
-1.612864435,19.2871394
-1.133140177,19.30644842
-1.278892159,19.32875047
-3.159791231,19.34957625
0.183563679,19.37018795
-0.975932926,19.38613619
0.23888424,19.40956432
-1.222733408,19.42915964
-0.794697553,19.44853351
0.146962702,19.47063847
-0.730901957,19.49098443
-1.25458464,19.51054824
-0.815279782,19.53144307
-0.444427133,19.55315466
-0.568386167,19.5743462
0.790320337,19.59454317
0.619702041,19.6156035
-1.278053969,19.63532002
-0.238325447,19.65491185
-0.326707959,19.67682854
1.160148531,19.69645172
-0.756327063,19.71617459
-0.970810652,19.73620321
0.230129808,19.75807347
-0.16912818,19.77817361
-1.712050289,19.80043122
-1.088622957,19.8197827
0.788457692,19.8413457
-0.721402466,19.86061035
-0.324007124,19.88233257
-0.097136945,19.902482
0.040978193,19.92154393
-1.397542655,19.94284404
0.354181975,19.96411336
0.635627657,19.98398974
-0.255834311,20.00650754
-0.630039722,20.02629057
-0.277999789,20.04757624
-0.796746463,20.06724324
-1.505762339,20.08971841
-0.828318298,20.10943636
0.718608499,20.12806061
-0.728201121,20.14878987
1.01486221,20.17123416
-0.013504177,20.18912096
0.570900738,20.20972877
-1.017842442,20.232074
0.64028427,20.25205294
-0.563263893,20.27129203
0.44060871,20.29369608
-0.074133277,20.3140899
-0.001210719,20.33454889
-0.586081296,20.35610268
0.431574881,20.37667851
0.66542998,20.39627256
-0.765640289,20.41651041
0.409036875,20.43677969
1.736823469,20.45842405
-1.209415495,20.4795501
0.381283462,20.49900795
0.330619514,20.52100536
0.707432628,20.54087547
0.684335828,20.56320491
0.321958214,20.58303272
1.574493945,20.6020879
-0.134576112,20.62170226
0.718515366,20.64376207
-0.008102506,20.66176292
2.534501255,20.68485507
0.071991235,20.7041848
-0.98189339,20.72557985
0.018998981,20.74633974
1.795869321,20.76455586
0.051315874,20.7861133
0.944174826,20.80745231
0.100303441,20.82631032
1.087039709,20.84594342
0.980030745,20.86736792
-0.254623592,20.88688307
1.018121839,20.90796292
0.674836338,20.92786367
0.707618892,20.94668541
0.605825335,20.96702327
2.242811024,20.98854167
1.100171357,21.00780711
2.82432884,21.02692325
1.421570778,21.04994522
0.026635826,21.0687826
2.201553434,21.08934493
0.498816371,21.10892485
1.047365367,21.12814608
1.134257764,21.14951771
0.290665776,21.16898151
0.509805977,21.18973109
1.567322761,21.21026167
1.163221896,21.23035673
0.976771116,21.24973869
2.493709326,21.2714071
0.298302621,21.29046442
1.417007297,21.31110153
1.939758658,21.33182253
0.478886068,21.35184424
0.65267086,21.37266534
-0.100489706,21.39111664
2.427399158,21.41360847
1.574680209,21.43191666
0.985339284,21.45277228
1.007691026,21.47219838
1.603644341,21.49171115
1.40927732,21.51235238
1.194514334,21.53343096
1.312419772,21.5532363
1.733191311,21.5736175
1.559779048,21.59547451
1.183990389,21.6137157
1.504924148,21.63408278
0.157393515,21.65388741
0.491831452,21.67359377
0.999588519,21.69629817
1.805368811,21.7168894
1.645553857,21.73459553
-0.512879342,21.75517215
2.121180296,21.77693208
0.566709787,21.79577343
1.717265695,21.81583031
0.648573041,21.83879307
-0.145100057,21.85517318
2.479739487,21.8769882
1.497380435,21.89704468
1.061614603,21.91695519
-0.652950257,21.93623381
2.487655729,21.95830401
0.882986933,21.97811666
1.206621528,21.99869082
1.129601151,22.01863181
1.221708953,22.03659099
0.075437129,22.05861928
0.800006092,22.0780249
1.142919064,22.09896362
